Graduação,Instituicao,Semestre,Biologia,Outras das ciências naturais,Negócios,Ciência da Computação / Programação,Outras disciplinas relacionadas à computação,Engenharia,Ciências ambientais,Humanidades,Matemática/Estatística,Palavra,Palavras,Interesse,Aulas,Olimpíadas,Em qual das seguintes atividades você participou no ensino médio? ,Excelentes professores,Professores especialistas,Professores fizeram computação parecer interessante,Assunto divertido e aplicável,Aprendi muito,Os professores me fizeram acreditar que eu poderia ter sucesso,Os professores me fizeram sentir que eu pertencia àquela aula,"Indique seu nível de acordo em relação às seguintes afirmações. Por favor, considere todas as perguntas com cuidado. Suas respostas e opiniões são muito importantes para nós. [Um professor / orientador em quem eu confiava me incentivou a estudar ciência da computação]","Um professor que eu confiava, ou um orientador, me incentivou a estudar campos de exatas",Meus amigos e colegas estudavam computação ou outro curso em tecnologia da informação,Meus amigos e colegas me incentivaram a estudar computação ou outro curso em tecnologia da informação.,"A mídia (por exemplo, TV, filmes, música) influenciou","Mídias sociais (ex: Facebook, YouTube) influenciaram",Amo matemática,Gosto de dividir problemas em partes menores e resolvê-los,Gosto de desmontar coisas para ver como elas funcionam,Problemas teóricos e abstratos são interessantes,Uma carreira de foco mais prático é importante para mim,Seria muito bom poder programar um aplicativo para um dispositivo móvel,Tenho preocupação de meu trabalho algum dia puder ser automatizado ou terceirizado,É importante para mim que meu trabalho me dê muito retorno em dinheiro,É importante para mim que o trabalho que eu faça tenha grande impacto para o mundo,Tenho motivação em ajudar as pessoas a construírem uma sociedade melhor,As mídias retratam os programadores de um modo negativo,"Na escola, eu sempre estive entre os melhores em matemática",Eu acredito que eu saiba diferenciar Ciência da Computação de Tecnologia da Informação
0 - 20%,UFCG,2016.1,Menor interesse,Maior interesse,Menor interesse,Menor interesse,Menor interesse,Maior interesse,Maior interesse,Maior interesse,Maior interesse,"Ciência, pesquisa",Desenvolvimento,7,NA,0,NA,Não concordo ou discordo,Não concordo ou discordo,Discordo moderadamente,Discordo fortemente,Discordo fortemente,Discordo fortemente,Discordo fortemente,Discordo fortemente,Concordo fortemente,Discordo fortemente,Não concordo ou discordo,Concordo levemente,Concordo moderadamente,Concordo moderadamente,Concordo levemente,Discordo moderadamente,Concordo levemente,Concordo moderadamente,Não concordo ou discordo,Discordo levemente,Não concordo ou discordo,Concordo levemente,Concordo moderadamente,Discordo levemente,Discordo levemente,Discordo levemente
81 - 100%,UFCG,2012.1,Menor interesse,Menor interesse,Menor interesse,Menor interesse,Maior interesse,Maior interesse,Maior interesse,Maior interesse,Maior interesse,Resolução,"Avanço tecnológico, software, informação",7,Pré-cálculo,0,Aulas extracurriculares em computação ou tecnologias da informação.,Concordo levemente,Concordo levemente,Concordo levemente,Discordo levemente,Discordo moderadamente,Não concordo ou discordo,Não concordo ou discordo,Discordo moderadamente,Concordo levemente,Discordo moderadamente,Não concordo ou discordo,Concordo levemente,Concordo levemente,Concordo levemente,Concordo levemente,Discordo levemente,Concordo levemente,Não concordo ou discordo,Discordo levemente,Não concordo ou discordo,Concordo levemente,Concordo levemente,Concordo levemente,Discordo levemente,Concordo levemente,Concordo levemente
21 - 40%,UFCG,2015.2,Menor interesse,Menor interesse,Maior interesse,Menor interesse,Maior interesse,Maior interesse,Menor interesse,Maior interesse,Maior interesse,Mudança,"Criatividade, criação, novidades, reflexão, filosofia",6,NA,0,Cursos de informática (sem programação),Concordo fortemente,Concordo fortemente,Concordo fortemente,Concordo fortemente,Concordo fortemente,Concordo fortemente,Concordo fortemente,Concordo levemente,Não concordo ou discordo,Discordo levemente,Concordo levemente,Concordo levemente,Discordo fortemente,Concordo fortemente,Concordo moderadamente,Concordo levemente,Concordo fortemente,Concordo fortemente,Concordo fortemente,Discordo fortemente,Discordo levemente,Concordo moderadamente,Concordo fortemente,Concordo levemente,Concordo fortemente,Concordo fortemente
81 - 100%,UFCG,2011.1,Menor interesse,Menor interesse,Maior interesse,Menor interesse,Maior interesse,Maior interesse,Maior interesse,Menor interesse,Maior interesse,Possibilidades,"dificuldade, aprendizado constante, resolução de problemas",4,Álgebra,0,Cursos de informática (sem programação),Concordo levemente,Concordo fortemente,Concordo fortemente,Concordo moderadamente,Concordo moderadamente,Concordo fortemente,Concordo fortemente,Concordo fortemente,Concordo fortemente,Concordo levemente,Concordo levemente,Não concordo ou discordo,Não concordo ou discordo,Discordo levemente,Concordo levemente,Discordo moderadamente,Concordo levemente,Concordo moderadamente,Concordo moderadamente,Discordo fortemente,Discordo levemente,Discordo levemente,Concordo levemente,Discordo levemente,Discordo levemente,Concordo levemente
0 - 20%,UFCG,2015.2,Maior interesse,Maior interesse,Menor interesse,Maior interesse,Menor interesse,Menor interesse,Menor interesse,Maior interesse,Maior interesse,desenvolvimento,programação,7,Álgebra,0,NA,Discordo moderadamente,Discordo moderadamente,Discordo moderadamente,Discordo moderadamente,Discordo moderadamente,Discordo moderadamente,Discordo moderadamente,Discordo moderadamente,Discordo moderadamente,Concordo levemente,Concordo levemente,Discordo levemente,Concordo moderadamente,Concordo levemente,Concordo levemente,Concordo moderadamente,Concordo fortemente,Concordo moderadamente,Concordo fortemente,Concordo fortemente,Discordo moderadamente,Concordo levemente,Concordo fortemente,Concordo moderadamente,Discordo levemente,Concordo fortemente
61 - 80%,UFCG,2012.1,Maior interesse,Maior interesse,Menor interesse,Maior interesse,Maior interesse,Menor interesse,Maior interesse,Maior interesse,Maior interesse,Programação,Otimização ,7,Álgebra,0,NA,Discordo fortemente,Discordo fortemente,Não concordo ou discordo,Discordo fortemente,Discordo moderadamente,Concordo levemente,Não concordo ou discordo,Discordo fortemente,Concordo fortemente,Discordo moderadamente,Discordo fortemente,Discordo fortemente,Discordo fortemente,Concordo moderadamente,Concordo moderadamente,Concordo moderadamente,Não concordo ou discordo,Concordo levemente,Concordo fortemente,Não concordo ou discordo,Concordo moderadamente,Concordo fortemente,Concordo moderadamente,Concordo moderadamente,Concordo fortemente,Concordo moderadamente
0 - 20%,UFCG,2016.1,Maior interesse,Maior interesse,Menor interesse,Maior interesse,Maior interesse,Maior interesse,Maior interesse,Menor interesse,Maior interesse,desafios,"ajudar, resolver, melhorar",6,NA,0,NA,Discordo levemente,Discordo moderadamente,Discordo moderadamente,Discordo moderadamente,Discordo moderadamente,Discordo moderadamente,Discordo moderadamente,Discordo moderadamente,Concordo fortemente,Discordo levemente,Concordo moderadamente,Concordo levemente,Concordo moderadamente,Concordo moderadamente,Concordo moderadamente,Concordo fortemente,Concordo fortemente,Concordo moderadamente,Concordo moderadamente,Discordo moderadamente,Concordo levemente,Concordo fortemente,Concordo fortemente,Discordo levemente,Concordo fortemente,Concordo levemente
0 - 20%,UFCG,2016.1,Menor interesse,Maior interesse,Menor interesse,Maior interesse,Maior interesse,Menor interesse,Menor interesse,Maior interesse,Menor interesse,Python,"Cálculo, Vetorial, difícil, programar, erro.",1,NA,0,Cursos de informática (sem programação),Concordo levemente,Não concordo ou discordo,Concordo levemente,Concordo levemente,Não concordo ou discordo,Concordo levemente,Concordo moderadamente,Concordo moderadamente,Concordo moderadamente,Concordo moderadamente,Concordo moderadamente,Concordo levemente,Concordo levemente,Discordo levemente,Concordo moderadamente,Concordo moderadamente,Concordo fortemente,Concordo moderadamente,Concordo fortemente,Concordo moderadamente,Concordo fortemente,Concordo levemente,Concordo levemente,Não concordo ou discordo,Concordo levemente,Concordo moderadamente
0 - 20%,UFCG,2015.2,Menor interesse,Menor interesse,Maior interesse,Maior interesse,Maior interesse,Maior interesse,Menor interesse,Menor interesse,Menor interesse,programar,tecnologia,1,Pré-cálculo,,Aulas extracurriculares em computação ou tecnologias da informação.,Concordo levemente,Concordo levemente,Concordo fortemente,Concordo moderadamente,Não concordo ou discordo,Concordo fortemente,Concordo fortemente,Concordo fortemente,Concordo moderadamente,Concordo levemente,Concordo levemente,Concordo fortemente,Concordo fortemente,Discordo moderadamente,Concordo moderadamente,Concordo levemente,Concordo moderadamente,Concordo moderadamente,Concordo fortemente,Concordo levemente,Concordo levemente,Concordo fortemente,Concordo fortemente,Concordo levemente,Concordo moderadamente,Concordo moderadamente
21 - 40%,UFCG,2015.2,Maior interesse,Menor interesse,Menor interesse,Maior interesse,Menor interesse,Menor interesse,Maior interesse,Maior interesse,Maior interesse,Design,"Programacao, resolucao",5,Álgebra,0,NA,Discordo moderadamente,Discordo moderadamente,Discordo moderadamente,Discordo moderadamente,Discordo levemente,Discordo moderadamente,Discordo moderadamente,Concordo fortemente,Concordo fortemente,Concordo fortemente,Concordo fortemente,Concordo fortemente,Concordo fortemente,Discordo levemente,Discordo fortemente,Concordo levemente,Concordo moderadamente,Concordo fortemente,Concordo moderadamente,Discordo levemente,Concordo moderadamente,Concordo fortemente,Concordo fortemente,Discordo fortemente,Discordo fortemente,Concordo fortemente
